score,major,time,usage_description,heard_of,used,used_in_class,answered_mc,familiarity_1,familiarity_2,familiarity_3,familiarity_4,familiarity_5,familiarity_6,familiarity_7,familiarity_8
-3146.0,"Computer Science, Business Administration",1183,,True,True,False,False,Neutral,Comfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Neutral,Uncomfortable
4249.0,"EECS, Business Administration",1218,i would ask the chatbot questions that i would like it to answer,True,True,True,True,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable
10145.0,"EECS, Business Administration",1246,To understand complicated concepts.,True,True,True,False,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral
2570.0,"Economics, Psychology",1482,type key words for it to define,True,True,True,True,Uncomfortable,Neutral,Neutral,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable
8474.0,"Computer Science, Business Administration",1603,I used them to clarify concepts or brute force problems.,True,True,True,False,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral
3051.0,Business Administration,1497,,True,True,False,False,Comfortable,Neutral,Uncomfortable,Neutral,Neutral,Neutral,Neutral,Neutral
874.0,Business Administration,1582,study for homework. It is a lot more efficient when understanding the gist of something ,True,True,True,False,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Uncomfortable,Uncomfortable,Neutral
10656.0,"Business Administration, Computer Science, Data Science",1641,I used it to help explain a concept that I didn't understand from a textbook,True,True,True,False,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral
-2076.0,Business Administration,1779,,True,False,False,False,Comfortable,Neutral,Neutral,Comfortable,Neutral,Uncomfortable,Neutral,Neutral
6572.0,"Molecular and Cell Biology, Business Administration",1836,,True,True,False,False,Comfortable,Comfortable,Uncomfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral
3822.0,"Molecular and Cell Biology, Business Administration",1951,,True,True,False,False,Neutral,Neutral,Neutral,Comfortable,Comfortable,Uncomfortable,Neutral,Neutral
6539.0,"Cognitive Science, Psychology",2259,I use it to sometimes get a general sense of what an essay question is asking me and then using that informaiton to write my own answer,True,True,True,False,Neutral,Neutral,Comfortable,Neutral,Comfortable,Uncomfortable,Neutral,Neutral
7033.0,"EECS, Business Administration",2296,"Writing essays, giving basic information",True,True,True,False,Neutral,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable
2154.0,"Business Administration, Political Economy",2387,I used it to help understand a concept more. ,True,True,True,False,Uncomfortable,Comfortable,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable
3720.0,Psychology,2475,i would ask it questions and to answer things,True,True,True,True,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable
2760.0,"EECS, Business Administration",3257,used for learning and studying concepts,True,True,True,True,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral
2992.0,Business Administration,1942,for easier explanations of topics,True,True,True,False,Neutral,Neutral,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable
250.0,Business Administration,4714,,False,False,False,False,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
-5182.0,"Business Administration, Data Science",2137,chatgpt for archaeology essay when looking up artifacts,True,True,True,False,Neutral,Comfortable,Uncomfortable,Neutral,Neutral,Uncomfortable,Neutral,Neutral
-21238.0,Business Administration,2224,Summarizing reading materials to understand more,True,True,True,False,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable
-1046.0,"EECS, Business Administration",5920,,True,True,False,False,Neutral,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Neutral,Neutral,Neutral
4755.0,"EECS, Business Administration",2859,Help study for classes or get ideas for essays or projects in coding.,True,True,True,True,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Neutral,Comfortable,Comfortable
20732.0,"Business Administration, City and Regional Planning",2940,I use it for studying just as advanced google searching and for idea generation.,True,True,True,True,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Uncomfortable,Neutral
-4672.0,Business Administration,5736,I had an assignment that required/instructed the use of an AI chatbot. ,True,True,True,False,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable
-1087.0,"Business Administration, Data Science",2218,,False,False,False,False,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral
5308.0,"Business Administration, Data Science",12651,type up an introduction or answer to questions when im too lazy,True,True,True,False,Comfortable,Comfortable,Uncomfortable,Comfortable,Neutral,Uncomfortable,Neutral,Neutral
-1927.0,"Business Administration, Data Science",12847,,True,True,False,False,Neutral,Neutral,Neutral,Neutral,Uncomfortable,Uncomfortable,Neutral,Neutral
14428.0,"Business Administration, Data Science",12901,To study before tests and review key concepts,True,True,True,False,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable
9425.0,Business Administration,13008,,True,True,False,False,Uncomfortable,Comfortable,Comfortable,Neutral,Neutral,Uncomfortable,Uncomfortable,Comfortable
303.0,"Computer Science, Business Administration",12985,I used it to understand CS and biology concepts more simply,True,True,True,False,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral
11655.0,"EECS, Business Administration",13836,"debug code, explain homework questions, check econ problem set answers",True,True,True,False,Comfortable,Uncomfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable
