question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification
In what situation are closed pouches applied?,The patient has a semi-formed or liquid output.,The patient has a colostomy.,In the immediate post-operative period.,The patient has a urostomy.,B,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b18180> JSON: {
  "" A"": -12.457284,
  ""A"": -4.838501e-06,
  ""B"": -16.183788,
  ""D"": -15.16711,
  ""a"": -14.653457
}]","Closed pouches are applied when the patient has a semi-formed or liquid output, such as stool or urine. They are not typically used for colostomies or urostomies, which require an open pouch. Closed pouches are also not typically used in the immediate post-operative period, as the patient may need to be monitored more closely."
Which of the following is true with regards to the anatomy involved in the rectal examination?,The sacrum is palpated anteriorly,The pubic bone is palpated anteriorly in both sexes,In the male the testes can be appreciated anteriorly,The cervix can sometimes be felt anteriorly in the female,D,clinical_knowledge,val,B,"[<OpenAIObject at 0x7f9839b02680> JSON: {
  "" B"": -10.200736,
  ""A"": -12.13426,
  ""B"": -8.2927705e-05,
  ""C"": -11.494006,
  ""D"": -10.433315
}]","The rectal examination is a physical examination of the rectum and anus. During the examination, the examiner palpates the anterior wall of the rectum to assess for any abnormalities. The pubic bone is palpated anteriorly in both sexes, while the sacrum is palpated posteriorly. In the male, the prostate can be palpated anteriorly, while in the female, the cervix can sometimes be felt anteriorly. The testes cannot be appreciated anteriorly."
Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high?,Glutamine,Glucose,Carnosine,Amylase,C,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b02770> JSON: {
  "" C"": -12.095795,
  ""A"": -10.364761,
  ""B"": -16.0268,
  ""C"": -3.8338017e-05,
  ""c"": -13.599397
}]","Carnosine is an intracellular buffer that can help to limit pH changes when the rate of glycolysis is high. Glutamine, glucose, and amylase are not effective intracellular buffers."
Oxygen is used:,in glycolysis.,in the conversion of fatty acids to acetyl CoA.,in the tricarboxylic acid cycle (Krebs' cycle).,in glycogenolysis.,B,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b02860> JSON: {
  "" C"": -10.942144,
  ""A"": -9.500706,
  ""B"": -12.312643,
  ""C"": -9.937757e-05,
  ""c"": -13.012842
}]","Oxygen is used in the tricarboxylic acid cycle (Krebs' cycle) to produce energy in the form of ATP. Glycolysis is the breakdown of glucose to pyruvate, fatty acids are converted to acetyl CoA in the fatty acid oxidation pathway, and glycogenolysis is the breakdown of glycogen to glucose."
The main fate of lactate that leaves muscle and enters the circulation is:,conversion to urea in the liver.,conversion to glucose in the heart.,excretion via the kidneys.,uptake and oxidation by other tissues.,D,clinical_knowledge,test,D,"[<OpenAIObject at 0x7f9839b02bd0> JSON: {
  "" D"": -13.7068,
  ""A"": -16.76608,
  ""C"": -18.601439,
  ""D"": -1.3823812e-06,
  ""d"": -14.762144
}]","Lactate that leaves muscle and enters the circulation is taken up and oxidized by other tissues, such as the heart, liver, and kidneys. It is not converted to urea in the liver, converted to glucose in the heart, or excreted via the kidneys."
A person is prescribed Ropinirole 1.5 mg divided into three doses. How many micrograms is each dose? Choose one answer from the following:,5,50,0.5,500,D,clinical_knowledge,test,D,"[<OpenAIObject at 0x7f9839b020e0> JSON: {
  "" D"": -10.94448,
  ""A"": -10.892674,
  ""B"": -4.002141,
  ""C"": -3.0704205,
  ""D"": -0.066907234
}]","Each dose of Ropinirole 1.5 mg is equal to 500 micrograms. Therefore, each dose is 500 micrograms."
An ileostomy opening should be:,flush with the skin.,3-5cm in length.,below skin level.,over 5cm in length.,B,clinical_knowledge,test,A,"[<OpenAIObject at 0x7f9839b029a0> JSON: {
  "" A"": -12.00804,
  ""A"": -6.746778e-06,
  ""B"": -19.459818,
  ""C"": -19.245703,
  ""a"": -14.18962
}]","An ileostomy opening should be flush with the skin, meaning that it should be at the same level as the surrounding skin. It should not be below or above the skin level. The length of the opening can vary, but it is typically 3-5cm in length."
Which one of the following statements is true with regard to intravenous drug administration?,IV administration of a drug will delay its action.,IV administration carries low risk of bacteraemia.,IV administration allows titration of a drug with its desired effect.,An intravenous cannula should never be used for both drug and fluid administration.,C,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b02130> JSON: {
  "" C"": -12.458104,
  ""B"": -16.215425,
  ""C"": -6.8669196e-06,
  ""D"": -14.415147,
  ""c"": -12.994364
}]","C is the correct answer because IV administration allows for the titration of a drug, meaning that the dose can be adjusted to achieve the desired effect. This is not possible with other routes of administration. A is incorrect because IV administration of a drug can result in a rapid onset of action. B is incorrect because IV administration carries a risk of bacteraemia. D is incorrect because an intravenous cannula can be used for both drug and fluid administration."
Which of the following would not be done before catheterizing?,Gain patient consent.,Patient to be washed.,Expiry dates to be checked.,Ring patient's next of kin.,D,clinical_knowledge,test,C,"[<OpenAIObject at 0x7f9839b024f0> JSON: {
  "" C"": -12.484366,
  ""B"": -17.911146,
  ""C"": -6.0395385e-05,
  ""D"": -9.785663,
  ""c"": -14.758099
}]","Catheterization is a medical procedure that involves inserting a catheter into a patient's body. Before catheterizing, it is important to gain patient consent, wash the patient, and ring the patient's next of kin. Checking the expiry dates of the catheter or other medical supplies is not necessary before catheterizing. Therefore, the correct answer is (C)."
Glycogen breakdown in muscle initially results in the formation of:,glucose.,glucose-1-phosphate.,glucose-6-phosphate.,"glucose-1,6-diphosphate.",B,clinical_knowledge,test,B,"[<OpenAIObject at 0x7f9839b02db0> JSON: {
  "" B"": -9.707012,
  ""A"": -5.5621243,
  ""B"": -0.0073803356,
  ""C"": -5.67778,
  ""D"": -10.447599
}]","Glycogen breakdown in muscle initially results in the formation of glucose-1-phosphate, which is then converted to glucose-6-phosphate and then to glucose-1,6-diphosphate."
