question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justifications,method
Disqualification of directors may result from breaches under the,Sale of Goods Act 1979,Financial Services Act 1986,Companies Act 2006 and Insolvency Act 1986,Health and Safety at Work Act 1974,C,business_ethics,val,C,"[<OpenAIObject at 0x7f9fa0958090> JSON: {
  "" C"": -10.62276,
  ""A"": -17.975107,
  ""B"": -17.809034,
  ""C"": -2.5225998e-05,
  ""c"": -13.821624
}]","Disqualification of directors may result from breaches under the Companies Act 2006 and Insolvency Act 1986. The Sale of Goods Act 1979, Financial Services Act 1986, and Health and Safety at Work Act 1974 do not relate to the disqualification of directors.",baseline
"In a global context, many companies have significant ______ power due to their ability to threaten governments, in the face of ________ with relocation to other territories, which Beck (1998) describes as 'corporate power of _______.","Economic, Commercial competition, Social sanction","Political, Undesirable regulation, Transnational withdrawal","Social, Commercial competition, Social sanction","Social, Undesirable regulation, Transnational withdrawal",B,business_ethics,val,B,"[<OpenAIObject at 0x7f9fa09588b0> JSON: {
  "" B"": -10.274328,
  ""B"": -0.052273363,
  ""C"": -10.176537,
  ""D"": -2.978884,
  ""b"": -12.62736
}]","The correct answer is (B) Political, Undesirable regulation, Transnational withdrawal. This is because Beck (1998) describes the corporate power of transnational withdrawal as the ability of companies to threaten governments with relocation to other territories in a global context due to their significant political power.",baseline
Ethics of duty is a principle based ethical theory attributed to Emmanuel Kant.,"1,3","2,3","1,2","1,2,3",A,business_ethics,val,D,"[<OpenAIObject at 0x7f9fa0958cc0> JSON: {
  "" D"": -12.210808,
  ""A"": -10.907275,
  ""B"": -12.182315,
  ""C"": -9.979707,
  ""D"": -7.5774245e-05
}]","Ethics of duty is a principle based ethical theory attributed to Emmanuel Kant. This theory states that people should act in accordance with a moral code that is based on universal principles of right and wrong. It is based on the idea that people should act in a way that is consistent with their moral obligations and duties, regardless of the consequences. Therefore, the correct answer is (D) 1,2,3.",baseline
"While businesses traditionally engaged in civil society through ______, recently more business-________ collaboration have emerged in order to tackle social and environmental problems. Likewise, CSO's strategies have evolved with an increasing number setting up _________, which are more commercially orientated then traditional charity models.","Philanthropy, CSO, Social enterprises","Philanthropy, Government, Lobbying groups","Advertising campaigns, CSO, Lobbying groups","Advertising campaigns, Government, Social enterprises",A,business_ethics,val,A,"[<OpenAIObject at 0x7f9fa0958a90> JSON: {
  "" A"": -11.784722,
  ""A"": -1.0204763e-05,
  ""B"": -18.00231,
  ""D"": -12.899691,
  ""a"": -16.310316
}]","The correct answer is (A) Philanthropy, CSO, Social enterprises. Philanthropy is the practice of donating money or other resources to charitable causes. CSO stands for Civil Society Organization, which is an organization that is independent of government and works to promote the interests of its members or the public at large. Social enterprises are businesses that use commercial strategies to maximize improvements in human and environmental well-being, rather than maximizing profits for external shareholders. Lobbying groups are organizations that seek to influence public policy by engaging in direct contact with government officials. Advertising campaigns are used to promote products or services.",baseline
"The relationship between shareholders and the company, or so called ________, describes shareholders as _________ and managers of the company as ________.","Agency relation, Agent, Principals","Stakeholder management, Agent, Principals","Agency relation, Principal, Agents","Stakeholder management, Principal, Agents",C,business_ethics,val,C,"[<OpenAIObject at 0x7f9fa0958e00> JSON: {
  "" C"": -12.066837,
  ""A"": -4.318249,
  ""B"": -14.869174,
  ""C"": -0.013420743,
  ""c"": -13.737394
}]","The correct answer is (C) Agency relation, Principal, Agents. The agency relation is the relationship between shareholders and the company, where shareholders are the principals and the managers of the company are the agents. Stakeholder management is a different concept, which refers to the management of the interests of all stakeholders in a company.",baseline
Executive directors are responsible for running the firm.,"1,4","1,3","2,3","1,2,3",A,business_ethics,val,D,"[<OpenAIObject at 0x7f9fa0958f90> JSON: {
  "" D"": -11.912212,
  ""A"": -11.208522,
  ""B"": -12.2094145,
  ""D"": -2.6538237e-05,
  ""d"": -14.12409
}]","Executive directors are responsible for running the firm, which includes setting the overall strategy, managing the day-to-day operations, and ensuring the firm meets its financial goals. Therefore, the correct answer is (D) 1,2,3.",baseline
Subjection to emotional exploitation.,"1,2,4","1,3,4","2,3,4","1,2,3,4,5",B,business_ethics,val,D,"[<OpenAIObject at 0x7f9fa0958270> JSON: {
  "" D"": -11.833183,
  ""A"": -10.29115,
  ""B"": -9.850012,
  ""C"": -10.745482,
  ""D"": -0.0001173809
}]","The possible choices are:
1. Psychological manipulation
2. Financial abuse
3. Physical abuse
4. Verbal abuse
5. Social isolation

Therefore, the correct answer is (D) 1,2,3,4,5.",baseline
The recent global sustainability agenda has been dominated by which of the following organisations sustainability goals?,Marks & Spencer's 'Plan A',United Nations 'Sustainable Development Goals',The Alibaba Group's 'Sustainability Initiatives',Unilever's 'Sustainable Living Plan',B,business_ethics,val,B,"[<OpenAIObject at 0x7f9f68012180> JSON: {
  "" B"": -11.677288,
  ""A"": -18.54182,
  ""B"": -9.490449e-06,
  ""D"": -17.930632,
  ""b"": -13.754112
}]","The United Nations' Sustainable Development Goals (SDGs) have been the main focus of the global sustainability agenda in recent years. The SDGs are a set of 17 goals that aim to end poverty, protect the planet, and ensure prosperity for all. Other organisations, such as Marks & Spencer's 'Plan A', The Alibaba Group's 'Sustainability Initiatives', and Unilever's 'Sustainable Living Plan' have also implemented sustainability goals, but the UN's SDGs have been the main focus of the global sustainability agenda.",baseline
The OECD argues that corporate governance problems arise because:,Ownership and control is separated,Managers always act in their own self interest,Profit maximization is the main objective of organizations,Stakeholders have differing levels of power,A,business_ethics,val,A,"[<OpenAIObject at 0x7f9f68012d10> JSON: {
  "" A"": -10.858542,
  ""A"": -0.00038865104,
  ""B"": -12.523214,
  ""D"": -7.9342704,
  ""a"": -11.84185
}]","The OECD argues that corporate governance problems arise because ownership and control are separated, meaning that the owners of a company (shareholders) do not necessarily have control over the company's operations. This can lead to conflicts of interest between shareholders, managers, and other stakeholders, such as creditors and employees.",baseline
What is meant by the phrase CSR?,Corporate Social Responsibility,Company Social Responsibility,Corporate Society Responsibility,Company Society Responsibility,A,business_ethics,val,A,"[<OpenAIObject at 0x7f9fa0958630> JSON: {
  "" A"": -12.154981,
  ""A"": -5.5556293e-06,
  ""B"": -20.633018,
  ""Option"": -20.752876,
  ""a"": -14.785653
}]","
The phrase CSR stands for Corporate Social Responsibility, which is a business practice that involves taking responsibility for the company's actions and their impact on society, the environment, and stakeholders. It is a way for companies to be accountable for their actions and to ensure that they are making a positive contribution to society.",baseline
