question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification,method
Disqualification of directors may result from breaches under the,Sale of Goods Act 1979,Financial Services Act 1986,Companies Act 2006 and Insolvency Act 1986,Health and Safety at Work Act 1974,C,business_ethics,val,C,"[<OpenAIObject at 0x7f8c700223b0> JSON: {
  "" C"": -10.154139,
  ""A"": -14.308348,
  ""Answer"": -14.957976,
  ""C"": -4.954739e-05,
  ""c"": -11.586082
}]","

The Sale of Goods Act 1979 deals with the sale of goods and services, so it is not related to disqualification of directors. 

The Financial Services Act 1986 deals with the regulation of financial services, so it is not related to disqualification of directors. 

The Companies Act 2006 and Insolvency Act 1986 deal with the formation and dissolution of companies, so they are related to disqualification of directors. 

The Health and Safety at Work Act 1974 deals with the health and safety of workers, so it is not related to disqualification of directors. 

Therefore, the correct answer is (C) Companies Act 2006 and Insolvency Act 1986.",scratchpad
"In a global context, many companies have significant ______ power due to their ability to threaten governments, in the face of ________ with relocation to other territories, which Beck (1998) describes as 'corporate power of _______.","Economic, Commercial competition, Social sanction","Political, Undesirable regulation, Transnational withdrawal","Social, Commercial competition, Social sanction","Social, Undesirable regulation, Transnational withdrawal",B,business_ethics,val,D,"[<OpenAIObject at 0x7f8c70022450> JSON: {
  "" D"": -9.924928,
  ""A"": -14.000147,
  ""Answer"": -12.377419,
  ""D"": -6.766711e-05,
  ""d"": -11.301358
}]","

First, the question mentions a global context, so the power in question is likely to be political. 

Second, the power is being used to threaten governments, so the context is likely to be undesirable regulation. 

Finally, Beck (1998) describes this power as 'corporate power of _______', so the power is likely to be transnational withdrawal. 

Therefore, the correct answer is (D): Social, Undesirable regulation, Transnational withdrawal.",scratchpad
Ethics of duty is a principle based ethical theory attributed to Emmanuel Kant.,"1,3","2,3","1,2","1,2,3",A,business_ethics,val,D,"[<OpenAIObject at 0x7f8c70022e00> JSON: {
  "" D"": -11.265461,
  ""A"": -14.71526,
  ""Answer"": -14.626043,
  ""D"": -1.4377073e-05,
  ""d"": -14.44656
}]","

1. Emmanuel Kant: True
2. Principle based ethical theory: True
3. Ethics of duty: True

Answer: (D) 1,2,3",scratchpad
"While businesses traditionally engaged in civil society through ______, recently more business-________ collaboration have emerged in order to tackle social and environmental problems. Likewise, CSO's strategies have evolved with an increasing number setting up _________, which are more commercially orientated then traditional charity models.","Philanthropy, CSO, Social enterprises","Philanthropy, Government, Lobbying groups","Advertising campaigns, CSO, Lobbying groups","Advertising campaigns, Government, Social enterprises",A,business_ethics,val,A,"[<OpenAIObject at 0x7f8c70022b80> JSON: {
  "" A"": -10.528976,
  ""A"": -2.8682118e-05,
  ""Answer"": -15.34975,
  ""Option"": -17.95661,
  ""a"": -13.280679
}]","

Businesses traditionally engaged in civil society through: Philanthropy
Recently more business-________ collaboration have emerged: CSO
CSO's strategies have evolved with an increasing number setting up _________: Social enterprises

The correct answer is (A): Philanthropy, CSO, Social enterprises",scratchpad
"The relationship between shareholders and the company, or so called ________, describes shareholders as _________ and managers of the company as ________.","Agency relation, Agent, Principals","Stakeholder management, Agent, Principals","Agency relation, Principal, Agents","Stakeholder management, Principal, Agents",C,business_ethics,val,A,"[<OpenAIObject at 0x7f8c70022270> JSON: {
  "" A"": -11.226701,
  ""A"": -1.4616429e-05,
  ""Answer"": -14.269451,
  ""C"": -17.285131,
  ""a"": -14.3334255
}]","

The relationship between shareholders and the company is an agency relation. Shareholders are the principals, and managers of the company are the agents. 

Therefore, the correct answer is (A) Agency relation, Agent, Principals.",scratchpad
Executive directors are responsible for running the firm.,"1,4","1,3","2,3","1,2,3",A,business_ethics,val,D,"[<OpenAIObject at 0x7f8c70034450> JSON: {
  "" D"": -10.932266,
  ""A"": -13.883395,
  ""Answer"": -12.833807,
  ""D"": -2.2245786e-05,
  ""d"": -14.351041
}]","

Executive directors are responsible for running the firm. This means they are responsible for the day-to-day operations of the firm. This would include tasks such as managing staff, overseeing financial operations, and making strategic decisions. 

Therefore, the correct answer is (D) 1,2,3.",scratchpad
Subjection to emotional exploitation.,"1,2,4","1,3,4","2,3,4","1,2,3,4,5",B,business_ethics,val,D,"[<OpenAIObject at 0x7f8c70034680> JSON: {
  "" D"": -11.320772,
  ""A"": -15.699841,
  ""Answer"": -13.326348,
  ""D"": -1.42597355e-05,
  ""d"": -14.976383
}]","

Subjection to emotional exploitation could mean:
1. Being manipulated
2. Being taken advantage of
3. Being controlled
4. Being made to feel guilty
5. Being made to feel inferior

Therefore, the correct answer is (D) 1,2,3,4,5.",scratchpad
The recent global sustainability agenda has been dominated by which of the following organisations sustainability goals?,Marks & Spencer's 'Plan A',United Nations 'Sustainable Development Goals',The Alibaba Group's 'Sustainability Initiatives',Unilever's 'Sustainable Living Plan',B,business_ethics,val,B,"[<OpenAIObject at 0x7f8c70034f40> JSON: {
  "" B"": -9.829338,
  ""A"": -14.221055,
  ""Answer"": -13.257306,
  ""B"": -6.396884e-05,
  ""b"": -11.788696
}]","
Marks & Spencer's 'Plan A' is a sustainability plan created by the company, so it is not the correct answer. 
The Alibaba Group's 'Sustainability Initiatives' is also a sustainability plan created by the company, so it is not the correct answer. 
Unilever's 'Sustainable Living Plan' is also a sustainability plan created by the company, so it is not the correct answer. 
Therefore, the correct answer is (B) United Nations 'Sustainable Development Goals'.",scratchpad
The OECD argues that corporate governance problems arise because:,Ownership and control is separated,Managers always act in their own self interest,Profit maximization is the main objective of organizations,Stakeholders have differing levels of power,A,business_ethics,val,A,"[<OpenAIObject at 0x7f8c70034630> JSON: {
  ""\n"": -18.183744,
  "" A"": -9.851375,
  ""A"": -5.4552278e-05,
  ""Answer"": -17.197287,
  ""a"": -13.248248
}]","

The OECD is an organization that promotes economic development and global cooperation. It is likely that their argument would not be that managers always act in their own self interest (B). 

The OECD also promotes economic growth and development, so it is unlikely that their argument would be that profit maximization is the main objective of organizations (C). 

The OECD is likely to argue that corporate governance problems arise because ownership and control is separated (A) and because stakeholders have differing levels of power (D). 

Answer: A, D",scratchpad
What is meant by the phrase CSR?,Corporate Social Responsibility,Company Social Responsibility,Corporate Society Responsibility,Company Society Responsibility,A,business_ethics,val,A,"[<OpenAIObject at 0x7f8c80091b30> JSON: {
  "" A"": -11.461901,
  ""A"": -1.0681599e-05,
  ""Answer"": -17.329662,
  ""B"": -20.1198,
  ""a"": -15.145947
}]","

The phrase CSR stands for: 

(A) Corporate Social Responsibility",scratchpad
"______, ________ and _______ are all factors which can impinge upon stakeholder communication and collaboration.","Resource intensity, Culture clash, Accountability","Resource clash, Culture intensity, Accountability","Resource intensity, Culture clash, Coordinative fluidity","Resource clash, Culture clash, Coordinative fluidity",A,business_ethics,val,A,"[<OpenAIObject at 0x7f8c70034810> JSON: {
  "" A"": -11.189417,
  ""A"": -1.4854846e-05,
  ""Answer"": -14.702989,
  ""Option"": -18.60567,
  ""a"": -14.240882
}]","

Resource intensity, Culture clash, and Accountability are all factors that can impinge upon stakeholder communication and collaboration. Therefore, the correct answer is (A): Resource intensity, Culture clash, Accountability.",scratchpad
"Beyond the business case for engaging in CSR there are a number of moral arguments relating to: negative _______, the _______that corporations possess and the ________ of business and society.","Externalities, Power, Independence","Publicity, Insubstantial resources, Mutual dependence","Publicity, Power, Independence","Externalities, Power, Mutual dependence",D,business_ethics,dev,D,"[<OpenAIObject at 0x7f8c80098680> JSON: {
  "" D"": -9.995251,
  ""A"": -13.632013,
  ""Answer"": -12.491992,
  ""D"": -5.8130416e-05,
  ""d"": -11.941234
}]","

The first part of the question is asking about negative externalities. This means that the first word in the answer should be ""Externalities"". 

The second part of the question is asking about the power that corporations possess. This means that the second word in the answer should be ""Power"". 

The third part of the question is asking about the relationship between business and society. This means that the third word in the answer should be ""Mutual dependence"". 

Therefore, the correct answer is (D) Externalities, Power, Mutual dependence.",scratchpad
"_______ is the direct attempt to formally or informally manage ethical issues or problems, through specific policies, practices and programmes.",Corporate social responsibility,Business ethics management,Sustainability,Environmental management,B,business_ethics,dev,B,"[<OpenAIObject at 0x7f8c80098090> JSON: {
  "" B"": -10.079374,
  ""A"": -15.06665,
  ""Answer"": -15.082326,
  ""B"": -4.4539687e-05,
  ""b"": -13.16577
}]","

Corporate social responsibility (A) is a broad concept that involves a company's commitment to ethical practices, such as environmental protection, social justice, and human rights. 

Sustainability (C) is a broad concept that involves a company's commitment to environmental protection, social justice, and economic development. 

Environmental management (D) is a specific practice that involves a company's commitment to environmental protection.

Therefore, the correct answer is (B) Business ethics management.",scratchpad
"To ensure the independence of the non-executive board members, they are a number of steps which can be taken, which include non-executives being drawn from _______ the company, being appointed for a _________ time period as well as being appointed _________.","Outside, Limited, Independently","Inside, Limited, Intermittently","Outside, Unlimited, Intermittently","Inside, Unlimited, Independently",A,business_ethics,dev,A,"[<OpenAIObject at 0x7f8c700342c0> JSON: {
  ""\n"": -17.247063,
  "" A"": -10.618203,
  ""A"": -2.9756868e-05,
  ""Answer"": -13.914153,
  ""a"": -12.355581
}]","

The first part of the question is asking about non-executive board members being drawn from outside the company. Therefore, the first part of the answer should be ""outside"".

The second part of the question is asking about the time period for which they are appointed. The answer should be ""limited"".

The third part of the question is asking about how they are appointed. The answer should be ""independently"".

Therefore, the correct answer is (A): Outside, Limited, Independently.",scratchpad
"Three contrasting tactics that CSO's can engage in to meet their aims are ________ which typically involves research and communication, ________, which may involve physically attacking a company's operations or ________, often involving some form of _______.","Non-violent direct action, Violent direct action, Indirect action, Boycott","Indirect action, Instrumental action, Non-violent direct action, Information campaign","Indirect action, Violent direct action, Non-violent direct-action Boycott","Non-violent direct action, Instrumental action, Indirect action, Information campaign",C,business_ethics,dev,A,"[<OpenAIObject at 0x7f8c70022d10> JSON: {
  "" A"": -10.275724,
  ""A"": -3.643162e-05,
  ""Answer"": -13.395787,
  ""C"": -16.664742,
  ""a"": -14.767881
}]","

The first tactic is non-violent direct action, which typically involves research and communication. 
The second tactic is violent direct action, which may involve physically attacking a company's operations. 
The third tactic is indirect action, often involving some form of boycott. 

Therefore, the correct answer is (A) Non-violent direct action, Violent direct action, Indirect action, Boycott.",scratchpad
"In contrast to _______, _______ aim to reward favourable behaviour by companies. The success of such campaigns have been heightened through the use of ___________, which allow campaigns to facilitate the company in achieving _________ .","Buycotts, Boycotts, Blockchain technology, Charitable donations","Buycotts, Boycotts, Digital technology, Increased Sales","Boycotts, Buyalls, Blockchain technology, Charitable donations","Boycotts, Buycotts, Digital technology, Increased Sales",D,business_ethics,dev,D,"[<OpenAIObject at 0x7f8c700340e0> JSON: {
  "" D"": -10.14571,
  ""A"": -13.659839,
  ""Answer"": -12.392068,
  ""D"": -5.4552278e-05,
  ""d"": -11.688614
}]","

The first part of the question is asking for two contrasting terms. The two contrasting terms in this case are Buycotts and Boycotts. 

The second part of the question is asking about the success of such campaigns. The success of such campaigns have been heightened through the use of Digital technology. 

The third part of the question is asking about what the campaigns are trying to achieve. The campaigns are trying to facilitate the company in achieving Increased Sales. 

Therefore, the correct answer is (D) Boycotts, Buycotts, Digital technology, Increased Sales.",scratchpad
